SampleID,DOC
A002,2.1
A003,2.12
A013,2.09
A014,2.03
A015,2.02
A026,2.04
A027,2.22
A030,2.14
A037,2.13
A038,2.19
A040,2.11
A049,2.24
A051,2.11
A061,2.32
A063,2.8
A106,0.87
A107,1.19
A108,0.7
A119,0.61
A120,0.56
A130,0.8
A143,0.59
B001,0.64
B002,2.46
B003,1.55
B004,2.4
B005,2.56
B006,1.16
B007,0.55
B008,1.45
B009,0.99
B010,0.57
B011,0.69
B012,3.03
B013,0.9
B014,1.63
B015,0.74
B016,1.63
B017,1.31
B018,0.56
D001,1.86
D003,2.48
D004,2.09
D005,1.48
D009,2.99
D010,1.96
K001,1.08
K002,2.19
K003,1.77
K004,2.74
SP002,6.64
WW008,0.77
WW009,1.08
WW017,0.59
WW020,0.58
WW022,1.43
WW024,0.57
WW029,1.23
WW030,0.63
WW032,0.63
WW033,0.62
WW034,1.11
WW035,0.74
