 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,           Delta 13C,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2021/03/18 21:55:07,2021/03/18 22:03:26,               9.429,            2725.462,              31.254,              20.210,               0.978,               0.012,               5.000,      1063,   499.277
         2,         1,                                        ,      2021/03/18 22:19:03,2021/03/18 22:25:05,               5.708,            1536.146,              17.633,              21.199,               1.013,               0.012,               5.000,       770,   361.866
         3,         1,                                        ,      2021/03/18 22:38:36,2021/03/18 22:44:28,               5.706,            1477.577,              16.835,              13.672,               1.889,               0.022,               5.000,       749,   351.658
         4,         1,                                        ,      2021/03/18 22:57:21,2021/03/18 23:05:23,               9.025,            2529.441,              28.683,               8.849,               1.016,               0.009,               5.000,      1026,   482.157
         5,         1,                                        ,      2021/03/18 23:17:49,2021/03/18 23:28:22,              23.903,            6470.620,              72.071,              -9.057,               0.842,               0.008,               5.000,      1347,   632.935
         6,         1,                                        ,      2021/03/18 23:40:46,2021/03/18 23:52:29,              41.998,           11156.305,             123.159,             -17.835,               0.793,               0.006,               5.000,      1497,   703.733
         7,         1,                                        ,      2021/03/19 00:04:29,2021/03/19 00:19:16,             191.359,           49618.659,             543.071,             -26.234,               0.745,               0.004,               5.000,      1887,   886.581
         8,         1,                                        ,      2021/03/19 00:31:20,2021/03/19 00:47:27,             377.809,           97677.031,            1067.232,             -27.892,               0.805,               0.006,               5.000,      2057,   966.903
         9,         1,                                        ,      2021/03/19 01:01:27,2021/03/19 01:05:34,               5.111,            1065.490,              12.089,               9.431,               1.509,               0.018,               5.000,       526,   247.019
        10,         1,                                        ,      2021/03/19 01:18:12,2021/03/19 01:27:50,              16.417,            4438.176,              49.806,              -1.568,               0.770,               0.007,               5.000,      1229,   577.774
        11,         1,                                        ,      2021/03/19 01:40:02,2021/03/19 01:52:44,              65.600,           17416.472,             192.022,             -19.067,               0.674,               0.006,               5.000,      1620,   761.488
        12,         1,                                        ,      2021/03/19 02:04:57,2021/03/19 02:17:18,              57.621,           15158.387,             167.194,             -18.664,               0.700,               0.004,               5.000,      1575,   740.722
        13,         1,                                        ,      2021/03/19 02:29:19,2021/03/19 02:44:06,             193.419,           50197.730,             558.355,             -10.357,               0.604,               0.005,               5.000,      1887,   887.071
        14,         1,                                        ,      2021/03/19 02:56:12,2021/03/19 03:11:43,             281.499,           72928.880,             799.648,             -24.443,               0.708,               0.005,               5.000,      1980,   931.200
        16,         1,                                        ,      2021/03/19 03:40:54,2021/03/19 03:56:06,             234.439,           61320.926,             672.967,             -23.576,               0.611,               0.007,               5.000,      1939,   912.274
        17,         1,                                        ,      2021/03/19 04:08:18,2021/03/19 04:22:55,             174.619,           45720.168,             502.214,             -22.683,               0.743,               0.008,               5.000,      1866,   877.168
        18,         1,                                        ,      2021/03/19 04:35:01,2021/03/19 04:50:07,             220.027,           57566.691,             631.878,             -23.398,               0.732,               0.006,               5.000,      1925,   905.447
        19,         1,                                        ,      2021/03/19 05:02:16,2021/03/19 05:16:53,             173.983,           45659.493,             501.710,             -22.361,               0.712,               0.007,               5.000,      1863,   876.296
        20,         1,                                        ,      2021/03/19 05:28:59,2021/03/19 05:44:06,             222.827,           58333.030,             640.264,             -23.434,               0.663,               0.007,               5.000,      1928,   906.888
