"","Syringe","H2O_mL","air_mL","eq_temp","ResetTime","DATETIME","samplenum","ENDTIME","CO2","delCO2","CH4","delCH4"
"1","U006",70,70,22,"2019-08-11 19:46:46",2019-08-11 19:46:46,1,2019-08-11 19:47:16,2822.56810433958,-22.0609901250833,9.62063904062917,-69.8861962310833
"2","U008",70,70,22,"2019-08-11 19:49:16",2019-08-11 19:49:16,2,2019-08-11 19:49:46,2671.55602031377,-21.4892448643841,10.4788534747826,-59.0187168177391
"3","U016",70,70,22,"2019-08-11 19:51:53",2019-08-11 19:51:53,3,2019-08-11 19:52:23,2710.0396891875,-20.6276182622083,6.74264028692083,-61.5243313779167
"4","VT045",70,70,22,"2019-08-11 19:54:12",2019-08-11 19:54:12,4,2019-08-11 19:54:42,2249.62180271042,-18.020003636125,7.65741548004583,-58.845063658875
"5","U033",70,70,22,"2019-08-11 19:56:52",2019-08-11 19:56:52,5,2019-08-11 19:57:22,1772.790041516,-19.12896728878,5.071265657276,-64.85044717952
"6","U005",70,70,22,"2019-08-11 20:00:00",2019-08-11 20:00:00,6,2019-08-11 20:00:30,2121.13244205069,-20.0050054997292,4.128533835775,-60.55262103975
"7","U007",70,70,22,"2019-08-11 20:02:26",2019-08-11 20:02:26,7,2019-08-11 20:02:56,2034.021436462,-17.90062178364,6.440425706408,-63.93726352892
"8","U014",70,70,22,"2019-08-11 20:05:08",2019-08-11 20:05:08,8,2019-08-11 20:05:38,3313.98047387083,-21.9678792651667,7.39297515828333,-60.8144584907917
"9","U003",70,70,22,"2019-08-11 20:07:23",2019-08-11 20:07:23,9,2019-08-11 20:07:53,2657.64352612083,-18.9358050944583,6.43657163655,-64.5719853905
"10","U010",70,70,22,"2019-08-11 20:09:51",2019-08-11 20:09:51,10,2019-08-11 20:10:21,1070.352333606,-17.66871720098,1.318266439436,-85.80380416504
"11","U043",70,70,22,"2019-08-11 20:12:17",2019-08-11 20:12:17,11,2019-08-11 20:12:47,883.9063536342,-19.0216012667,1.186094438988,-72.39753035068
"12","U050",70,70,22,"2019-08-11 20:14:42",2019-08-11 20:14:42,12,2019-08-11 20:15:12,1118.08338976875,-15.3108581321667,2.7025493433125,-81.6955722265417
